  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  1714.   -3.70  4.02  0.162    1.000  12.62  11.27  10.45  
 0.015  2280.   -3.05  4.04  0.194    1.000  10.20   9.61   9.20  
 0.020  2525.   -2.65  3.94  0.250    1.000   9.24   8.69   8.32  
 0.030  2699.   -2.29  3.87  0.331    1.000   8.38   7.84   7.50  
 0.040  2784.   -2.22  3.99  0.336    1.000   8.24   7.69   7.37  
 0.050  2849.   -2.13  4.03  0.356    1.000   8.02   7.48   7.17  
 0.060  2903.   -2.05  4.06  0.377    1.000   7.83   7.28   6.99  
 0.070  2948.   -1.97  4.08  0.399    1.000   7.66   7.10   6.82  
 0.072  2956.   -1.96  4.08  0.404    1.000   7.62   7.06   6.78  
 0.075  2968.   -1.93  4.08  0.414    1.000   7.56   6.99   6.71  
 0.080  2986.   -1.89  4.08  0.427    1.000   7.46   6.90   6.62  
 0.090  3017.   -1.83  4.09  0.449    1.000   7.32   6.75   6.48  
 0.100  3045.   -1.80  4.12  0.457    1.000   7.26   6.68   6.42  
 0.200  3234.   -1.40  4.12  0.642    1.000   6.34   5.71   5.47  
 0.300  3364.   -1.17  4.14  0.771    0.996   5.82   5.17   4.93  
 0.400  3518.   -0.99  4.16  0.871    0.926   5.43   4.73   4.51  
 0.500  3669.   -0.84  4.18  0.952    0.449   5.11   4.38   4.17  
 0.600  3798.   -0.72  4.20  1.018    0.087   4.86   4.12   3.92  
 0.700  3923.   -0.61  4.22  1.079    0.104   4.64   3.89   3.71  
 0.800  4049.   -0.51  4.23  1.141    0.173   4.42   3.67   3.51  
 0.900  4184.   -0.41  4.23  1.201    0.282   4.20   3.48   3.33  
 1.000  4327.   -0.30  4.23  1.266    0.448   3.98   3.30   3.16  
 1.100  4481.   -0.20  4.23  1.332    0.630   3.76   3.13   3.00  
 1.200  4647.   -0.09  4.22  1.409    0.785   3.53   2.94   2.83  
 1.300  4837.    0.04  4.20  1.500    0.882   3.27   2.75   2.64  
 1.400  5064.    0.18  4.17  1.615    0.938   2.98   2.52   2.42  



  t (Gyr) =   0.0100
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  1570.   -3.87  4.04  0.158    1.000  13.35  11.99  10.96  
 0.015  2261.   -3.08  4.05  0.191    1.000  10.27   9.67   9.26  
 0.020  2519.   -2.67  3.96  0.246    1.000   9.28   8.73   8.36  
 0.030  2682.   -2.43  4.01  0.285    1.000   8.73   8.19   7.85  
 0.040  2768.   -2.35  4.10  0.294    1.000   8.54   7.99   7.67  
 0.050  2843.   -2.23  4.13  0.317    1.000   8.28   7.73   7.43  
 0.060  2900.   -2.15  4.16  0.338    1.000   8.08   7.53   7.23  
 0.070  2946.   -2.06  4.17  0.361    1.000   7.88   7.32   7.04  
 0.072  2954.   -2.04  4.17  0.366    1.000   7.84   7.28   7.00  
 0.075  2967.   -2.02  4.17  0.372    1.000   7.79   7.23   6.95  
 0.080  2987.   -1.98  4.17  0.386    1.000   7.69   7.12   6.84  
 0.090  3021.   -1.91  4.17  0.408    1.000   7.53   6.96   6.69  
 0.100  3050.   -1.87  4.19  0.419    1.000   7.44   6.87   6.60  
 0.200  3240.   -1.47  4.19  0.592    1.000   6.51   5.89   5.64  
