
  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2387.   -2.47  3.37  0.342    1.000  16.85  14.31  11.79   8.75   8.28   7.81   7.42   7.13   7.28
 0.015  2514.   -2.21  3.37  0.417    1.000  15.55  13.24  10.82   8.11   7.65   7.22   6.86   6.59   6.71
 0.020  2594.   -2.05  3.39  0.470    1.000  14.77  12.61  10.24   7.72   7.26   6.86   6.51   6.26   6.37
 0.030  2668.   -1.79  3.35  0.604    1.000  13.79  11.75   9.45   7.07   6.60   6.22   5.90   5.66   5.75
 0.040  2733.   -1.66  3.39  0.667    1.000  13.18  11.26   9.02   6.76   6.29   5.93   5.63   5.39   5.48
 0.050  2762.   -1.48  3.33  0.797    1.000  12.68  10.78   8.56   6.33   5.85   5.50   5.22   4.98   5.07
 0.060  2808.   -1.40  3.36  0.848    1.000  12.30  10.48   8.29   6.13   5.65   5.32   5.05   4.81   4.90
 0.070  2835.   -1.33  3.37  0.907    1.000  12.07  10.27   8.09   5.95   5.46   5.14   4.88   4.65   4.74
 0.072  2832.   -1.29  3.34  0.944    1.000  12.00  10.20   8.01   5.87   5.37   5.06   4.80   4.56   4.66
 0.075  2836.   -1.27  3.34  0.974    1.000  11.93  10.12   7.94   5.80   5.30   4.98   4.73   4.49   4.59
 0.080  2837.   -1.20  3.30  1.048    1.000  11.79   9.98   7.79   5.64   5.14   4.82   4.57   4.33   4.43
 0.090  2864.   -1.13  3.30  1.110    1.000  11.58   9.79   7.61   5.48   4.97   4.67   4.43   4.19   4.29
 0.100  2925.   -1.15  3.40  1.041    1.000  11.42   9.71   7.59   5.55   5.03   4.74   4.52   4.29   4.39
 0.200  3220.   -0.54  3.26  1.741    1.000   9.07   7.73   5.84   4.13   3.44   3.24   3.13   2.94   3.06
 0.300  3460.   -0.20  3.22  2.220    1.000   7.59   6.50   4.88   3.40   2.61   2.44   2.36   2.24   2.38
 0.400  3670.   -0.05  3.30  2.356    1.000   6.61   5.72   4.40   3.12   2.31   2.15   2.07   2.01   2.15
 0.500  3848.    0.07  3.35  2.464    1.000   5.81   5.04   4.00   2.87   2.08   1.94   1.86   1.83   1.98
 0.600  3987.    0.16  3.40  2.544    1.000   5.34   4.60   3.74   2.69   1.94   1.81   1.73   1.71   1.85
 0.700  4110.    0.26  3.43  2.678    1.000   4.98   4.20   3.47   2.47   1.77   1.65   1.57   1.56   1.69
 0.800  4221.    0.35  3.44  2.827    1.000   4.61   3.86   3.21   2.27   1.60   1.49   1.42   1.41   1.54
 0.900  4315.    0.43  3.45  2.967    1.000   4.32   3.60   3.00   2.10   1.46   1.36   1.29   1.28   1.40
 1.000  4397.    0.50  3.45  3.103    1.000   4.07   3.38   2.81   1.94   1.33   1.23   1.16   1.16   1.27
 1.100  4471.    0.57  3.46  3.235    1.000   3.85   3.18   2.64   1.80   1.21   1.12   1.05   1.05   1.16
 1.200  4537.    0.63  3.46  3.370    1.000   3.65   3.01   2.48   1.66   1.10   1.01   0.95   0.94   1.05
 1.300  4596.    0.68  3.46  3.496    1.000   3.48   2.85   2.34   1.55   1.00   0.91   0.85   0.84   0.95
 1.400  4647.    0.74  3.46  3.630    1.000   3.32   2.71   2.21   1.43   0.90   0.82   0.76   0.75   0.85



  t (Gyr) =   0.0010
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2345.   -2.70  3.57  0.273    1.000  17.65  15.00  12.45   9.31   8.82   8.34   7.95   7.64   7.84
 0.015  2504.   -2.42  3.58  0.329    1.000  16.10  13.78  11.35   8.64   8.17   7.74   7.37   7.11   7.25
 0.020  2598.   -2.25  3.59  0.375    1.000  15.19  13.05  10.70   8.21   7.74   7.34   6.99   6.74   6.86
 0.030  2710.   -1.98  3.57  0.471    1.000  14.00  12.07   9.82   7.56   7.08   6.71   6.40   6.16   6.25
 0.040  2779.   -1.81  3.57  0.541    1.000  13.32  11.49   9.31   7.16   6.68   6.33   6.04   5.81   5.89
 0.050  2824.   -1.65  3.53  0.633    1.000  12.78  11.01   8.85   6.76   6.27   5.94   5.66   5.43   5.52
 0.060  2864.   -1.53  3.52  0.708    1.000  12.41  10.67   8.53   6.46   5.97   5.66   5.40   5.17   5.26
 0.070  2897.   -1.41  3.49  0.788    1.000  12.08  10.37   8.23   6.19   5.69   5.39   5.14   4.92   5.01
 0.072  2896.   -1.39  3.48  0.809    1.000  12.04  10.32   8.18   6.13   5.64   5.33   5.09   4.86   4.95
 0.075  2897.   -1.36  3.47  0.836    1.000  11.97  10.25   8.11   6.06   5.56   5.26   5.02   4.79   4.88
 0.080  2898.   -1.31  3.45  0.884    1.000  11.86  10.13   7.99   5.94   5.43   5.13   4.90   4.66   4.76
 0.090  2908.   -1.23  3.42  0.967    1.000  11.65   9.92   7.78   5.73   5.22   4.93   4.70   4.46   4.56
 0.100  2936.   -1.17  3.43  1.010    1.000  11.42   9.73   7.62   5.60   5.08   4.79   4.58   4.35   4.44
 0.200  3226.   -0.66  3.38  1.515    1.000   9.29   7.97   6.10   4.42   3.76   3.55   3.43   3.24   3.36
 0.300  3428.   -0.48  3.48  1.649    1.000   8.29   7.19   5.53   4.06   3.33   3.14   3.05   2.92   3.04
 0.400  3634.   -0.32  3.54  1.767    1.000   7.25   6.34   5.03   3.75   2.98   2.81   2.72   2.65   2.78
 0.500  3802.   -0.18  3.59  1.885    1.000   6.54   5.74   4.64   3.48   2.70   2.55   2.48   2.43   2.57
 0.600  3955.   -0.07  3.62  1.986    1.000   5.97   5.22   4.31   3.24   2.50   2.36   2.29   2.26   2.40
 0.700  4078.    0.04  3.63  2.113    1.000   5.57   4.79   4.02   3.01   2.30   2.17   2.10   2.08   2.22
 0.800  4192.    0.13  3.65  2.218    1.000   5.21   4.45   3.77   2.82   2.14   2.03   1.96   1.94   2.07
 0.900  4290.    0.21  3.66  2.328    1.000   4.90   4.17   3.55   2.64   1.99   1.89   1.82   1.81   1.93
 1.000  4377.    0.28  3.66  2.435    1.000   4.64   3.93   3.35   2.48   1.86   1.76   1.70   1.69   1.80
 1.100  4456.    0.35  3.67  2.540    1.000   4.41   3.73   3.18   2.33   1.74   1.64   1.58   1.57   1.69
 1.200  4529.    0.41  3.68  2.632    0.999   4.21   3.55   3.02   2.20   1.63   1.54   1.48   1.48   1.58
 1.300  4596.    0.47  3.68  2.731    0.998   4.01   3.39   2.87   2.08   1.53   1.45   1.39   1.38   1.48
 1.400  4658.    0.52  3.68  2.819    0.998   3.85   3.24   2.74   1.97   1.44   1.36   1.30   1.29   1.39



  t (Gyr) =   0.0020
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2236.   -2.96  3.75  0.222    1.000  18.79  16.01  13.44   9.98   9.46   8.96   8.52   8.20   8.48
 0.015  2452.   -2.65  3.77  0.264    1.000  16.95  14.52  12.05   9.21   8.72   8.29   7.91   7.63   7.81
 0.020  2571.   -2.46  3.78  0.301    1.000  15.86  13.66  11.28   8.74   8.26   7.85   7.50   7.25   7.39
 0.030  2707.   -2.14  3.73  0.390    1.000  14.42  12.48  10.23   7.98   7.50   7.13   6.81   6.57   6.68
 0.040  2784.   -1.90  3.67  0.484    1.000  13.51  11.70   9.52   7.39   6.91   6.56   6.27   6.04   6.13
 0.050  2829.   -1.72  3.61  0.579    1.000  12.94  11.18   9.03   6.95   6.46   6.13   5.85   5.62   5.71
 0.060  2867.   -1.58  3.57  0.667    1.000  12.51  10.78   8.64   6.59   6.10   5.78   5.52   5.29   5.38
 0.070  2902.   -1.45  3.53  0.749    1.000  12.15  10.45   8.32   6.30   5.80   5.49   5.25   5.02   5.11
 0.072  2907.   -1.43  3.53  0.767    1.000  12.08  10.38   8.26   6.24   5.74   5.44   5.19   4.97   5.06
 0.075  2914.   -1.40  3.52  0.792    1.000  11.99  10.29   8.17   6.16   5.66   5.36   5.12   4.89   4.98
 0.080  2924.   -1.35  3.50  0.834    1.000  11.84  10.16   8.04   6.03   5.53   5.23   5.00   4.77   4.86
 0.090  2934.   -1.26  3.47  0.911    1.000  11.62   9.94   7.83   5.83   5.31   5.02   4.80   4.57   4.67
 0.100  2972.   -1.26  3.53  0.897    1.000  11.46   9.84   7.76   5.82   5.29   5.01   4.80   4.57   4.67
 0.200  3202.   -0.96  3.67  1.086    1.000   9.93   8.64   6.80   5.17   4.56   4.33   4.17   3.99   4.09
 0.300  3428.   -0.72  3.72  1.248    1.000   8.76   7.69   6.09   4.67   3.98   3.78   3.66   3.53   3.64
 0.400  3606.   -0.55  3.76  1.374    1.000   7.85   6.93   5.59   4.31   3.58   3.40   3.30   3.21   3.33
 0.500  3763.   -0.41  3.79  1.488    1.000   7.16   6.34   5.19   4.02   3.27   3.11   3.02   2.96   3.10
 0.600  3906.   -0.29  3.82  1.575    1.000   6.60   5.84   4.87   3.78   3.04   2.90   2.82   2.78   2.92
 0.700  4033.   -0.18  3.84  1.672    0.999   6.17   5.41   4.58   3.55   2.83   2.70   2.63   2.61   2.74
 0.800  4153.   -0.09  3.85  1.762    0.996   5.81   5.03   4.31   3.34   2.65   2.54   2.47   2.45   2.58
 0.900  4259.   -0.00  3.86  1.848    0.986   5.48   4.73   4.08   3.16   2.50   2.40   2.33   2.32   2.44
 1.000  4350.    0.07  3.87  1.933    0.973   5.20   4.48   3.88   3.00   2.37   2.27   2.21   2.19   2.31
 1.100  4432.    0.14  3.87  2.010    0.969   4.96   4.27   3.71   2.85   2.25   2.16   2.09   2.09   2.20
 1.200  4508.    0.20  3.88  2.089    0.972   4.75   4.08   3.54   2.72   2.14   2.05   1.99   1.98   2.09
 1.300  4581.    0.26  3.88  2.165    0.977   4.55   3.90   3.39   2.59   2.04   1.95   1.89   1.88   1.99
 1.400  4653.    0.32  3.88  2.238    0.983   4.36   3.74   3.24   2.47   1.94   1.86   1.80   1.79   1.89



  t (Gyr) =   0.0030
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2142.   -3.13  3.84  0.199    1.000  19.57  16.70  14.13  10.41   9.85   9.33   8.86   8.52   8.84
 0.015  2406.   -2.79  3.88  0.234    1.000  17.55  15.02  12.52   9.55   9.06   8.61   8.22   7.94   8.15
 0.020  2545.   -2.57  3.88  0.269    1.000  16.28  14.03  11.62   9.02   8.54   8.13   7.77   7.51   7.67
 0.030  2706.   -2.17  3.76  0.376    1.000  14.50  12.56  10.31   8.06   7.58   7.21   6.89   6.65   6.75
 0.040  2784.   -1.92  3.69  0.474    1.000  13.55  11.74   9.57   7.44   6.96   6.61   6.31   6.09   6.18
 0.050  2831.   -1.74  3.64  0.563    1.000  12.98  11.23   9.08   7.01   6.52   6.19   5.91   5.68   5.77
 0.060  2870.   -1.61  3.60  0.639    1.000  12.58  10.86   8.72   6.68   6.19   5.87   5.61   5.38   5.47
 0.070  2906.   -1.51  3.59  0.701    1.000  12.25  10.56   8.44   6.44   5.94   5.63   5.39   5.16   5.25
 0.072  2911.   -1.49  3.59  0.715    1.000  12.19  10.50   8.39   6.39   5.88   5.58   5.34   5.11   5.20
 0.075  2919.   -1.46  3.58  0.732    1.000  12.10  10.43   8.32   6.32   5.82   5.52   5.28   5.05   5.15
 0.080  2931.   -1.42  3.57  0.764    1.000  11.96  10.30   8.20   6.22   5.71   5.41   5.18   4.95   5.05
 0.090  2956.   -1.36  3.59  0.800    1.000  11.75  10.12   8.03   6.09   5.57   5.28   5.06   4.83   4.93
 0.100  2998.   -1.44  3.73  0.716    1.000  11.73  10.18   8.14   6.28   5.75   5.47   5.26   5.04   5.14
 0.200  3196.   -1.10  3.81  0.924    1.000  10.23   8.96   7.13   5.53   4.94   4.70   4.53   4.35   4.44
 0.300  3404.   -0.86  3.85  1.075    1.000   9.11   8.03   6.43   5.01   4.36   4.14   4.01   3.87   3.97
 0.400  3582.   -0.68  3.88  1.196    1.000   8.21   7.27   5.91   4.63   3.93   3.74   3.63   3.53   3.64
 0.500  3731.   -0.54  3.91  1.302    1.000   7.54   6.70   5.51   4.33   3.60   3.43   3.34   3.27   3.39
 0.600  3868.   -0.42  3.93  1.385    0.996   6.99   6.21   5.19   4.09   3.36   3.21   3.12   3.08   3.21
 0.700  3998.   -0.31  3.95  1.470    0.978   6.51   5.77   4.90   3.86   3.13   3.00   2.93   2.90   3.03
 0.800  4120.   -0.21  3.96  1.547    0.918   6.17   5.38   4.63   3.65   2.95   2.83   2.76   2.74   2.87
 0.900  4232.   -0.13  3.97  1.617    0.873   5.83   5.07   4.40   3.47   2.80   2.69   2.63   2.62   2.74
 1.000  4330.   -0.05  3.98  1.687    0.875   5.54   4.81   4.20   3.31   2.67   2.57   2.51   2.49   2.61
 1.100  4421.    0.02  3.99  1.761    0.899   5.27   4.57   4.00   3.15   2.54   2.45   2.38   2.38   2.49
 1.200  4505.    0.09  3.99  1.831    0.925   5.04   4.37   3.83   3.00   2.42   2.33   2.28   2.27   2.37
 1.300  4588.    0.15  3.99  1.902    0.947   4.82   4.18   3.66   2.87   2.31   2.23   2.17   2.16   2.27
 1.400  4671.    0.22  3.99  1.982    0.965   4.60   3.98   3.49   2.72   2.19   2.11   2.06   2.05   2.15



  t (Gyr) =   0.0040
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2053.   -3.27  3.90  0.186    1.000  20.30  17.38  14.84  10.82  10.19   9.63   9.11   8.76   9.10
 0.015  2362.   -2.89  3.94  0.216    1.000  18.02  15.40  12.86   9.78   9.28   8.83   8.44   8.14   8.38
 0.020  2535.   -2.61  3.91  0.259    1.000  16.45  14.17  11.75   9.12   8.63   8.22   7.86   7.60   7.77
 0.030  2705.   -2.19  3.78  0.370    1.000  14.54  12.60  10.35   8.09   7.61   7.24   6.92   6.68   6.79
 0.040  2785.   -1.95  3.71  0.461    1.000  13.61  11.80   9.62   7.50   7.02   6.67   6.37   6.15   6.24
 0.050  2834.   -1.78  3.67  0.538    1.000  13.06  11.31   9.16   7.10   6.61   6.28   6.00   5.78   5.87
 0.060  2875.   -1.68  3.68  0.587    1.000  12.72  11.01   8.89   6.86   6.37   6.05   5.79   5.57   5.66
 0.070  2914.   -1.64  3.73  0.600    1.000  12.49  10.83   8.74   6.77   6.27   5.96   5.71   5.49   5.58
 0.072  2921.   -1.63  3.73  0.606    1.000  12.43  10.79   8.70   6.74   6.23   5.93   5.68   5.46   5.55
 0.075  2931.   -1.61  3.74  0.611    1.000  12.37  10.73   8.65   6.71   6.20   5.90   5.66   5.44   5.53
 0.080  2946.   -1.58  3.74  0.630    1.000  12.23  10.62   8.55   6.62   6.11   5.81   5.58   5.36   5.45
 0.090  2976.   -1.53  3.76  0.652    1.000  12.01  10.44   8.39   6.51   5.99   5.70   5.48   5.26   5.35
 0.100  3013.   -1.55  3.85  0.619    1.000  11.90  10.40   8.40   6.58   6.06   5.78   5.55   5.35   5.44
 0.200  3206.   -1.19  3.90  0.829    1.000  10.37   9.13   7.33   5.76   5.18   4.93   4.76   4.58   4.67
 0.300  3389.   -0.95  3.93  0.977    1.000   9.32   8.24   6.64   5.23   4.60   4.38   4.24   4.09   4.19
 0.400  3560.   -0.78  3.97  1.086    1.000   8.47   7.52   6.14   4.86   4.17   3.98   3.86   3.75   3.86
 0.500  3704.   -0.63  3.99  1.183    0.995   7.82   6.96   5.74   4.56   3.84   3.67   3.57   3.49   3.61
 0.600  3842.   -0.51  4.01  1.268    0.966   7.26   6.46   5.41   4.30   3.57   3.42   3.33   3.28   3.41
 0.700  3976.   -0.40  4.03  1.344    0.836   6.76   6.01   5.12   4.07   3.35   3.21   3.14   3.10   3.23
 0.800  4096.   -0.30  4.04  1.412    0.712   6.43   5.63   4.85   3.86   3.16   3.04   2.97   2.95   3.08
 0.900  4212.   -0.22  4.05  1.476    0.718   6.07   5.30   4.62   3.68   3.01   2.90   2.83   2.82   2.94
 1.000  4315.   -0.14  4.06  1.539    0.761   5.77   5.03   4.41   3.51   2.87   2.77   2.71   2.70   2.82
 1.100  4417.   -0.06  4.06  1.613    0.826   5.47   4.77   4.20   3.34   2.73   2.64   2.58   2.57   2.68
 1.200  4513.    0.02  4.06  1.682    0.879   5.21   4.54   4.00   3.18   2.60   2.51   2.46   2.45   2.56
 1.300  4609.    0.09  4.06  1.754    0.922   4.96   4.32   3.81   3.03   2.48   2.39   2.34   2.33   2.43
 1.400  4710.    0.16  4.06  1.830    0.952   4.71   4.11   3.62   2.87   2.35   2.27   2.22   2.21   2.31



  t (Gyr) =   0.0050
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  1961.   -3.39  3.94  0.177    1.000  20.76  17.88  15.44  11.21  10.49   9.87   9.27   8.93   9.23
 0.015  2330.   -2.96  3.99  0.206    1.000  18.36  15.68  13.13   9.95   9.44   8.98   8.58   8.27   8.55
 0.020  2531.   -2.62  3.92  0.256    1.000  16.50  14.21  11.79   9.15   8.66   8.25   7.89   7.63   7.80
 0.030  2705.   -2.20  3.79  0.364    1.000  14.58  12.63  10.38   8.13   7.65   7.27   6.95   6.72   6.83
 0.040  2785.   -1.98  3.75  0.443    1.000  13.68  11.88   9.70   7.59   7.10   6.75   6.46   6.23   6.32
 0.050  2841.   -1.85  3.75  0.493    1.000  13.20  11.47   9.33   7.29   6.80   6.46   6.19   5.96   6.05
 0.060  2890.   -1.81  3.82  0.500    1.000  12.94  11.27   9.17   7.20   6.70   6.38   6.12   5.90   5.99
 0.070  2928.   -1.76  3.86  0.515    1.000  12.69  11.08   9.01   7.09   6.58   6.28   6.02   5.81   5.90
 0.072  2934.   -1.75  3.86  0.522    1.000  12.63  11.03   8.96   7.05   6.54   6.24   5.99   5.77   5.86
 0.075  2944.   -1.73  3.87  0.529    1.000  12.56  10.96   8.91   7.01   6.50   6.20   5.95   5.74   5.83
 0.080  2959.   -1.69  3.87  0.546    1.000  12.42  10.85   8.80   6.92   6.41   6.11   5.87   5.66   5.75
 0.090  2992.   -1.64  3.88  0.570    1.000  12.17  10.64   8.62   6.78   6.27   5.98   5.75   5.54   5.63
 0.100  3027.   -1.63  3.94  0.559    1.000  12.00  10.54   8.57   6.79   6.27   5.99   5.76   5.56   5.65
 0.200  3220.   -1.26  3.97  0.764    1.000  10.46   9.24   7.47   5.92   5.35   5.10   4.92   4.74   4.83
 0.300  3379.   -1.02  4.00  0.906    1.000   9.48   8.40   6.81   5.40   4.79   4.56   4.41   4.26   4.35
 0.400  3546.   -0.84  4.03  1.014    0.998   8.65   7.70   6.30   5.02   4.35   4.15   4.02   3.91   4.02
 0.500  3696.   -0.70  4.05  1.103    0.975   7.98   7.12   5.90   4.71   4.01   3.83   3.73   3.65   3.76
 0.600  3830.   -0.57  4.07  1.182    0.834   7.43   6.63   5.57   4.46   3.75   3.59   3.49   3.44   3.56
 0.700  3960.   -0.47  4.09  1.253    0.547   6.95   6.20   5.28   4.23   3.52   3.38   3.30   3.26   3.39
 0.800  4081.   -0.37  4.10  1.317    0.517   6.60   5.81   5.02   4.03   3.33   3.20   3.13   3.11   3.24
 0.900  4198.   -0.28  4.11  1.376    0.567   6.26   5.48   4.79   3.84   3.17   3.06   2.99   2.97   3.10
 1.000  4310.   -0.20  4.12  1.441    0.658   5.93   5.18   4.56   3.66   3.02   2.92   2.85   2.84   2.96
 1.100  4422.   -0.12  4.12  1.505    0.755   5.62   4.91   4.34   3.49   2.88   2.78   2.72   2.71   2.83
 1.200  4531.   -0.03  4.12  1.581    0.842   5.32   4.65   4.12   3.30   2.73   2.64   2.59   2.58   2.68
 1.300  4644.    0.05  4.11  1.656    0.904   5.03   4.41   3.90   3.13   2.59   2.51   2.46   2.45   2.55
 1.400  4771.    0.14  4.11  1.733    0.944   4.74   4.16   3.68   2.95   2.45   2.37   2.32   2.32   2.41



  t (Gyr) =   0.0080
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  1714.   -3.70  4.02  0.162    1.000  21.34  18.66  16.56  12.55  11.32  10.44   9.63   9.31   9.59
 0.015  2280.   -3.05  4.04  0.194    1.000  18.83  16.07  13.51  10.18   9.66   9.20   8.78   8.46   8.77
 0.020  2525.   -2.65  3.94  0.250    1.000  16.59  14.29  11.86   9.21   8.72   8.31   7.95   7.68   7.86
 0.030  2699.   -2.29  3.87  0.331    1.000  14.81  12.86  10.60   8.34   7.86   7.49   7.17   6.93   7.04
 0.040  2784.   -2.22  3.99  0.336    1.000  14.25  12.46  10.29   8.20   7.71   7.36   7.06   6.84   6.93
 0.050  2849.   -2.13  4.03  0.356    1.000  13.79  12.09   9.98   7.99   7.49   7.16   6.88   6.66   6.75
 0.060  2903.   -2.05  4.06  0.377    1.000  13.40  11.78   9.71   7.80   7.30   6.98   6.71   6.50   6.59
 0.070  2948.   -1.97  4.08  0.399    1.000  13.07  11.51   9.48   7.62   7.12   6.81   6.55   6.35   6.44
 0.072  2956.   -1.96  4.08  0.404    1.000  13.00  11.45   9.43   7.58   7.08   6.77   6.52   6.31   6.40
 0.075  2968.   -1.93  4.08  0.414    1.000  12.90  11.36   9.35   7.52   7.01   6.71   6.46   6.25   6.34
 0.080  2986.   -1.89  4.08  0.427    1.000  12.74  11.23   9.23   7.42   6.91   6.62   6.37   6.17   6.26
 0.090  3017.   -1.83  4.09  0.449    1.000  12.48  11.02   9.05   7.28   6.77   6.48   6.24   6.04   6.13
 0.100  3045.   -1.80  4.12  0.457    1.000  12.28  10.87   8.94   7.22   6.70   6.41   6.18   5.98   6.07
 0.200  3234.   -1.40  4.12  0.642    1.000  10.71   9.52   7.80   6.29   5.72   5.47   5.28   5.11   5.20
 0.300  3364.   -1.17  4.14  0.771    0.996   9.83   8.75   7.17   5.77   5.17   4.94   4.77   4.63   4.71
 0.400  3518.   -0.99  4.16  0.871    0.926   9.03   8.06   6.66   5.37   4.73   4.52   4.38   4.27   4.36
 0.500  3669.   -0.84  4.18  0.952    0.449   8.35   7.47   6.24   5.06   4.38   4.19   4.07   3.99   4.09
 0.600  3798.   -0.72  4.20  1.018    0.087   7.83   7.01   5.92   4.81   4.12   3.95   3.84   3.78   3.90
 0.700  3923.   -0.61  4.22  1.079    0.104   7.36   6.58   5.64   4.58   3.89   3.74   3.64   3.60   3.72
 0.800  4049.   -0.51  4.23  1.141    0.173   6.97   6.19   5.36   4.36   3.67   3.54   3.46   3.43   3.56
 0.900  4184.   -0.41  4.23  1.201    0.282   6.59   5.80   5.09   4.14   3.48   3.36   3.29   3.27   3.40
 1.000  4327.   -0.30  4.23  1.266    0.448   6.18   5.44   4.82   3.93   3.29   3.19   3.13   3.12   3.23
 1.100  4481.   -0.20  4.23  1.332    0.630   5.78   5.09   4.54   3.71   3.12   3.03   2.97   2.96   3.07
 1.200  4647.   -0.09  4.22  1.409    0.785   5.38   4.75   4.25   3.48   2.94   2.86   2.80   2.80   2.89
 1.300  4837.    0.04  4.20  1.500    0.882   4.96   4.39   3.93   3.23   2.74   2.67   2.62   2.61   2.70
 1.400  5064.    0.18  4.17  1.615    0.938   4.50   3.99   3.57   2.94   2.51   2.45   2.41   2.40   2.47



  t (Gyr) =   0.0100
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  1570.   -3.87  4.04  0.158    1.000  21.67  18.77  16.70  13.27  12.02  10.92   9.82   9.48   9.87
 0.015  2261.   -3.08  4.05  0.191    1.000  18.95  16.18  13.62  10.24   9.72   9.26   8.83   8.51   8.84
 0.020  2519.   -2.67  3.96  0.246    1.000  16.67  14.36  11.92   9.25   8.77   8.35   7.99   7.72   7.91
 0.030  2682.   -2.43  4.01  0.285    1.000  15.24  13.26  10.98   8.70   8.21   7.83   7.51   7.27   7.39
 0.040  2768.   -2.35  4.10  0.294    1.000  14.64  12.79  10.61   8.50   8.01   7.66   7.35   7.13   7.24
 0.050  2843.   -2.23  4.13  0.317    1.000  14.08  12.34  10.24   8.25   7.75   7.42   7.13   6.91   7.01
 0.060  2900.   -2.15  4.16  0.338    1.000  13.64  12.02   9.95   8.04   7.54   7.22   6.95   6.74   6.83
 0.070  2946.   -2.06  4.17  0.361    1.000  13.28  11.72   9.69   7.84   7.34   7.03   6.77   6.56   6.66
 0.072  2954.   -2.04  4.17  0.366    1.000  13.21  11.66   9.64   7.80   7.30   6.99   6.73   6.53   6.62
 0.075  2967.   -2.02  4.17  0.372    1.000  13.11  11.58   9.57   7.75   7.24   6.94   6.68   6.48   6.57
 0.080  2987.   -1.98  4.17  0.386    1.000  12.94  11.44   9.44   7.65   7.14   6.84   6.59   6.39   6.48
 0.090  3021.   -1.91  4.17  0.408    1.000  12.64  11.19   9.24   7.49   6.97   6.68   6.44   6.24   6.33
 0.100  3050.   -1.87  4.19  0.419    1.000  12.41  11.01   9.10   7.40   6.88   6.59   6.36   6.16   6.25
 0.200  3240.   -1.47  4.19  0.592    1.000  10.84   9.66   7.96   6.46   5.90   5.65   5.45   5.29   5.37
 0.300  3363.   -1.23  4.20  0.719    0.979   9.96   8.89   7.32   5.93   5.33   5.10   4.93   4.78   4.86
 0.400  3508.   -1.05  4.22  0.811    0.663   9.20   8.23   6.82   5.54   4.91   4.69   4.54   4.43   4.52
 0.500  3651.   -0.91  4.24  0.887    0.024   8.54   7.66   6.41   5.22   4.56   4.37   4.24   4.15   4.25
 0.600  3781.   -0.79  4.26  0.950    0.020   8.01   7.19   6.09   4.97   4.29   4.12   4.01   3.94   4.05
 0.700  3908.   -0.67  4.27  1.013    0.036   7.53   6.75   5.79   4.73   4.04   3.89   3.79   3.75   3.87
 0.800  4041.   -0.57  4.28  1.073    0.086   7.11   6.34   5.50   4.50   3.82   3.68   3.60   3.57   3.69
 0.900  4191.   -0.46  4.29  1.129    0.191   6.70   5.92   5.21   4.27   3.61   3.49   3.42   3.41   3.53
 1.000  4363.   -0.34  4.28  1.198    0.383   6.23   5.50   4.90   4.02   3.40   3.30   3.24   3.23   3.34
 1.100  4553.   -0.21  4.27  1.269    0.597   5.76   5.10   4.57   3.77   3.20   3.11   3.06   3.05   3.15
 1.200  4768.   -0.07  4.25  1.358    0.774   5.28   4.69   4.21   3.48   2.98   2.90   2.85   2.85   2.94
 1.300  5038.    0.09  4.22  1.470    0.880   4.74   4.22   3.79   3.16   2.72   2.66   2.61   2.61   2.68
 1.400  5363.    0.29  4.16  1.637    0.938   4.13   3.69   3.31   2.76   2.39   2.34   2.31   2.30   2.36



  t (Gyr) =   0.0150
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.015  2237.   -3.11  4.07  0.187    1.000  19.16  16.36  13.79  10.34   9.81   9.34   8.90   8.58   8.91
 0.020  2495.   -2.74  4.01  0.231    1.000  16.99  14.62  12.16   9.43   8.94   8.52   8.16   7.88   8.08
 0.030  2614.   -2.69  4.22  0.224    1.000  16.33  14.07  11.73   9.30   8.82   8.44   8.10   7.85   8.02
 0.040  2721.   -2.55  4.27  0.242    1.000  15.29  13.37  11.15   8.98   8.49   8.13   7.81   7.58   7.71
 0.050  2827.   -2.41  4.30  0.263    1.000  14.60  12.78  10.67   8.67   8.18   7.84   7.55   7.33   7.44
